n,indicator.id,indicator.value,country.id,country.value,countryiso3code,date,value,unit,obs_status,decimal,m
211,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),8S,South Asia,SAS,2021,NA,,,
212,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),8S,South Asia,SAS,2020,NA,,,
213,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),8S,South Asia,SAS,2019,NA,,,
214,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),8S,South Asia,SAS,2018,NA,,,
215,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),8S,South Asia,SAS,2017,NA,,,
216,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T5,South Asia (IDA & IBRD),TSA,2021,NA,,,
217,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T5,South Asia (IDA & IBRD),TSA,2020,73.65452,,,
218,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T5,South Asia (IDA & IBRD),TSA,2019,72.95145,,,
219,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T5,South Asia (IDA & IBRD),TSA,2018,72.24388,,,
220,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T5,South Asia (IDA & IBRD),TSA,2017,71.69515,,,
221,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZG,Sub-Saharan Africa,SSF,2021,NA,,,
222,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZG,Sub-Saharan Africa,SSF,2020,65.85872,,,
223,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZG,Sub-Saharan Africa,SSF,2019,65.46861,,,
224,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZG,Sub-Saharan Africa,SSF,2018,65.03898,,,
225,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZG,Sub-Saharan Africa,SSF,2017,64.51749,,,
226,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZF,Sub-Saharan Africa (excluding high income),SSA,2021,NA,,,
227,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZF,Sub-Saharan Africa (excluding high income),SSA,2020,65.81337,,,
228,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZF,Sub-Saharan Africa (excluding high income),SSA,2019,65.42197,,,
229,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZF,Sub-Saharan Africa (excluding high income),SSA,2018,64.99101,,,
230,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZF,Sub-Saharan Africa (excluding high income),SSA,2017,64.46804,,,
231,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T6,Sub-Saharan Africa (IDA & IBRD countries),TSS,2021,NA,,,
232,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T6,Sub-Saharan Africa (IDA & IBRD countries),TSS,2020,65.85872,,,
233,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T6,Sub-Saharan Africa (IDA & IBRD countries),TSS,2019,65.46861,,,
234,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T6,Sub-Saharan Africa (IDA & IBRD countries),TSS,2018,65.03898,,,
235,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T6,Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,64.51749,,,
236,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XT,Upper middle income,,2021,NA,,,
237,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XT,Upper middle income,,2020,95.79682,,,
238,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XT,Upper middle income,,2019,95.64834,,,
239,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XT,Upper middle income,,2018,95.45145,,,
240,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XT,Upper middle income,,2017,95.67085,,,
241,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1W,World,WLD,2021,NA,,,
242,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1W,World,WLD,2020,86.68221,,,
243,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1W,World,WLD,2019,86.47830,,,
244,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1W,World,WLD,2018,86.24694,,,
245,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1W,World,WLD,2017,86.22016,,,
246,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AF,Afghanistan,AFG,2021,37.26604,,,
247,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AF,Afghanistan,AFG,2020,NA,,,
248,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AF,Afghanistan,AFG,2019,NA,,,
249,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AF,Afghanistan,AFG,2018,NA,,,
250,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AF,Afghanistan,AFG,2017,NA,,,
251,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AL,Albania,ALB,2021,NA,,,
252,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AL,Albania,ALB,2020,NA,,,
253,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AL,Albania,ALB,2019,NA,,,
254,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AL,Albania,ALB,2018,98.14115,,,
255,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AL,Albania,ALB,2017,NA,,,
256,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),DZ,Algeria,DZA,2021,NA,,,
257,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),DZ,Algeria,DZA,2020,NA,,,
258,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),DZ,Algeria,DZA,2019,NA,,,
259,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),DZ,Algeria,DZA,2018,81.40784,,,
260,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),DZ,Algeria,DZA,2017,NA,,,
261,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AS,American Samoa,ASM,2021,NA,,,
262,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AS,American Samoa,ASM,2020,NA,,,
263,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AS,American Samoa,ASM,2019,NA,,,
264,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AS,American Samoa,ASM,2018,NA,,,
265,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AS,American Samoa,ASM,2017,NA,,,
266,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AD,Andorra,AND,2021,NA,,,
267,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AD,Andorra,AND,2020,NA,,,
268,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AD,Andorra,AND,2019,NA,,,
269,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AD,Andorra,AND,2018,NA,,,
270,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AD,Andorra,AND,2017,NA,,,
271,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AO,Angola,AGO,2021,NA,,,
272,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AO,Angola,AGO,2020,NA,,,
273,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AO,Angola,AGO,2019,NA,,,
274,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AO,Angola,AGO,2018,NA,,,
275,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AO,Angola,AGO,2017,NA,,,
276,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AG,Antigua and Barbuda,ATG,2021,NA,,,
277,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AG,Antigua and Barbuda,ATG,2020,NA,,,
278,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AG,Antigua and Barbuda,ATG,2019,NA,,,
279,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AG,Antigua and Barbuda,ATG,2018,NA,,,
280,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AG,Antigua and Barbuda,ATG,2017,NA,,,
281,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AR,Argentina,ARG,2021,NA,,,
282,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AR,Argentina,ARG,2020,NA,,,
283,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AR,Argentina,ARG,2019,NA,,,
284,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AR,Argentina,ARG,2018,99.00387,,,
285,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AR,Argentina,ARG,2017,NA,,,
286,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AM,Armenia,ARM,2021,NA,,,
287,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AM,Armenia,ARM,2020,99.78861,,,
288,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AM,Armenia,ARM,2019,NA,,,
289,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AM,Armenia,ARM,2018,NA,,,
290,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AM,Armenia,ARM,2017,99.73607,,,
291,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AW,Aruba,ABW,2021,NA,,,
292,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AW,Aruba,ABW,2020,NA,,,
293,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AW,Aruba,ABW,2019,NA,,,
294,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AW,Aruba,ABW,2018,97.80742,,,
295,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AW,Aruba,ABW,2017,NA,,,
296,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AU,Australia,AUS,2021,NA,,,
297,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AU,Australia,AUS,2020,NA,,,
298,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AU,Australia,AUS,2019,NA,,,
299,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AU,Australia,AUS,2018,NA,,,
300,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AU,Australia,AUS,2017,NA,,,
301,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AT,Austria,AUT,2021,NA,,,
302,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AT,Austria,AUT,2020,NA,,,
303,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AT,Austria,AUT,2019,NA,,,
304,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AT,Austria,AUT,2018,NA,,,
305,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AT,Austria,AUT,2017,NA,,,
306,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AZ,Azerbaijan,AZE,2021,NA,,,
307,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AZ,Azerbaijan,AZE,2020,NA,,,
308,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AZ,Azerbaijan,AZE,2019,99.79598,,,
309,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AZ,Azerbaijan,AZE,2018,NA,,,
310,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),AZ,Azerbaijan,AZE,2017,99.79123,,,
311,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BS,Bahamas, The,BHS,2021,NA,,,
312,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BS,Bahamas, The,BHS,2020,NA,,,
313,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BS,Bahamas, The,BHS,2019,NA,,,
314,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BS,Bahamas, The,BHS,2018,NA,,,
315,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BS,Bahamas, The,BHS,2017,NA,,,
316,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BH,Bahrain,BHR,2021,NA,,,
317,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BH,Bahrain,BHR,2020,NA,,,
318,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BH,Bahrain,BHR,2019,NA,,,
319,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BH,Bahrain,BHR,2018,NA,,,
320,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BH,Bahrain,BHR,2017,NA,,,
321,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BD,Bangladesh,BGD,2021,NA,,,
322,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BD,Bangladesh,BGD,2020,74.90890,,,
323,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BD,Bangladesh,BGD,2019,74.68446,,,
324,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BD,Bangladesh,BGD,2018,73.91220,,,
325,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BD,Bangladesh,BGD,2017,72.89297,,,
326,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BB,Barbados,BRB,2021,NA,,,
327,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BB,Barbados,BRB,2020,NA,,,
328,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BB,Barbados,BRB,2019,NA,,,
329,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BB,Barbados,BRB,2018,NA,,,
330,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BB,Barbados,BRB,2017,NA,,,
331,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BY,Belarus,BLR,2021,NA,,,
332,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BY,Belarus,BLR,2020,NA,,,
333,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BY,Belarus,BLR,2019,99.87400,,,
334,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BY,Belarus,BLR,2018,NA,,,
335,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BY,Belarus,BLR,2017,NA,,,
336,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BE,Belgium,BEL,2021,NA,,,
337,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BE,Belgium,BEL,2020,NA,,,
338,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BE,Belgium,BEL,2019,NA,,,
339,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BE,Belgium,BEL,2018,NA,,,
340,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BE,Belgium,BEL,2017,NA,,,
341,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BZ,Belize,BLZ,2021,NA,,,
342,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BZ,Belize,BLZ,2020,NA,,,
343,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BZ,Belize,BLZ,2019,NA,,,
344,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BZ,Belize,BLZ,2018,NA,,,
345,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BZ,Belize,BLZ,2017,NA,,,
346,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BJ,Benin,BEN,2021,NA,,,
347,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BJ,Benin,BEN,2020,NA,,,
348,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BJ,Benin,BEN,2019,NA,,,
349,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BJ,Benin,BEN,2018,42.36240,,,
350,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BJ,Benin,BEN,2017,NA,,,
351,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BM,Bermuda,BMU,2021,NA,,,
352,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BM,Bermuda,BMU,2020,NA,,,
353,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BM,Bermuda,BMU,2019,NA,,,
354,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BM,Bermuda,BMU,2018,NA,,,
355,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BM,Bermuda,BMU,2017,NA,,,
356,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BT,Bhutan,BTN,2021,NA,,,
357,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BT,Bhutan,BTN,2020,NA,,,
358,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BT,Bhutan,BTN,2019,NA,,,
359,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BT,Bhutan,BTN,2018,NA,,,
360,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BT,Bhutan,BTN,2017,66.56115,,,
361,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BO,Bolivia,BOL,2021,NA,,,
362,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BO,Bolivia,BOL,2020,93.85256,,,
363,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BO,Bolivia,BOL,2019,NA,,,
364,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BO,Bolivia,BOL,2018,NA,,,
365,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BO,Bolivia,BOL,2017,NA,,,
366,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BA,Bosnia and Herzegovina,BIH,2021,NA,,,
367,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BA,Bosnia and Herzegovina,BIH,2020,NA,,,
368,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BA,Bosnia and Herzegovina,BIH,2019,NA,,,
369,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BA,Bosnia and Herzegovina,BIH,2018,NA,,,
370,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BA,Bosnia and Herzegovina,BIH,2017,NA,,,
371,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BW,Botswana,BWA,2021,NA,,,
372,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BW,Botswana,BWA,2020,NA,,,
373,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BW,Botswana,BWA,2019,NA,,,
374,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BW,Botswana,BWA,2018,NA,,,
375,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BW,Botswana,BWA,2017,NA,,,
376,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BR,Brazil,BRA,2021,NA,,,
377,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BR,Brazil,BRA,2020,NA,,,
378,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BR,Brazil,BRA,2019,NA,,,
379,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BR,Brazil,BRA,2018,93.22750,,,
380,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BR,Brazil,BRA,2017,93.07582,,,
381,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),VG,British Virgin Islands,VGB,2021,NA,,,
382,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),VG,British Virgin Islands,VGB,2020,NA,,,
383,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),VG,British Virgin Islands,VGB,2019,NA,,,
384,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),VG,British Virgin Islands,VGB,2018,NA,,,
385,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),VG,British Virgin Islands,VGB,2017,NA,,,
386,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BN,Brunei Darussalam,BRN,2021,NA,,,
387,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BN,Brunei Darussalam,BRN,2020,NA,,,
388,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BN,Brunei Darussalam,BRN,2019,NA,,,
389,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BN,Brunei Darussalam,BRN,2018,97.21411,,,
390,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BN,Brunei Darussalam,BRN,2017,NA,,,
391,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BG,Bulgaria,BGR,2021,NA,,,
392,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BG,Bulgaria,BGR,2020,NA,,,
393,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BG,Bulgaria,BGR,2019,NA,,,
394,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BG,Bulgaria,BGR,2018,NA,,,
395,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BG,Bulgaria,BGR,2017,NA,,,
396,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BF,Burkina Faso,BFA,2021,NA,,,
397,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BF,Burkina Faso,BFA,2020,NA,,,
398,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BF,Burkina Faso,BFA,2019,NA,,,
399,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BF,Burkina Faso,BFA,2018,39.34585,,,
400,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BF,Burkina Faso,BFA,2017,NA,,,
401,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BI,Burundi,BDI,2021,NA,,,
402,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BI,Burundi,BDI,2020,NA,,,
403,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BI,Burundi,BDI,2019,NA,,,
404,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BI,Burundi,BDI,2018,NA,,,
405,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),BI,Burundi,BDI,2017,68.37533,,,
406,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CV,Cabo Verde,CPV,2021,NA,,,
407,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CV,Cabo Verde,CPV,2020,NA,,,
408,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CV,Cabo Verde,CPV,2019,NA,,,
409,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CV,Cabo Verde,CPV,2018,NA,,,
410,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CV,Cabo Verde,CPV,2017,NA,,,
411,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KH,Cambodia,KHM,2021,NA,,,
412,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KH,Cambodia,KHM,2020,NA,,,
413,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KH,Cambodia,KHM,2019,NA,,,
414,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KH,Cambodia,KHM,2018,NA,,,
415,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KH,Cambodia,KHM,2017,NA,,,
416,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CM,Cameroon,CMR,2021,NA,,,
417,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CM,Cameroon,CMR,2020,NA,,,
418,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CM,Cameroon,CMR,2019,NA,,,
419,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CM,Cameroon,CMR,2018,77.07104,,,
420,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CM,Cameroon,CMR,2017,NA,,,
421,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CA,Canada,CAN,2021,NA,,,
422,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CA,Canada,CAN,2020,NA,,,
423,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CA,Canada,CAN,2019,NA,,,
424,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CA,Canada,CAN,2018,NA,,,
425,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CA,Canada,CAN,2017,NA,,,
426,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KY,Cayman Islands,CYM,2021,NA,,,
427,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KY,Cayman Islands,CYM,2020,NA,,,
428,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KY,Cayman Islands,CYM,2019,NA,,,
429,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KY,Cayman Islands,CYM,2018,NA,,,
430,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),KY,Cayman Islands,CYM,2017,NA,,,
431,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CF,Central African Republic,CAF,2021,NA,,,
432,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CF,Central African Republic,CAF,2020,NA,,,
433,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),CF,Central African Republic,CAF,2019,NA,,,
